tarefas_semana;taxa_conclusao;taxa_remocao;proporcao_numeradas;tempo_conclusao;estilo
3;0.92;0.05;0.6;1.1;Organizado
4;0.88;0.1;0.72;1.5;Organizado
2;0.95;0.04;0.4;0.8;Organizado
3;0.9;0.08;0.55;1.3;Organizado
5;0.85;0.12;0.7;1.7;Organizado
4;0.91;0.07;0.63;1.0;Organizado
3;0.87;0.09;0.58;1.2;Organizado
2;0.93;0.06;0.45;0.9;Organizado
5;0.89;0.1;0.68;1.4;Organizado
4;0.94;0.05;0.75;1.6;Organizado
3;0.88;0.11;0.61;1.3;Organizado
2;0.96;0.03;0.5;0.7;Organizado
10;0.22;0.12;0.1;4.8;Procrastinador
12;0.18;0.15;0.05;5.2;Procrastinador
9;0.25;0.1;0.08;4.5;Procrastinador
14;0.2;0.13;0.12;6.0;Procrastinador
11;0.19;0.14;0.15;5.7;Procrastinador
13;0.16;0.18;0.1;5.9;Procrastinador
10;0.23;0.11;0.07;4.3;Procrastinador
15;0.12;0.2;0.09;6.2;Procrastinador
12;0.17;0.16;0.04;5.4;Procrastinador
9;0.26;0.08;0.11;4.1;Procrastinador
13;0.15;0.17;0.13;6.5;Procrastinador
11;0.21;0.1;0.06;5.0;Procrastinador
8;0.32;0.45;0.1;1.9;Volátil
7;0.28;0.5;0.12;1.7;Volátil
9;0.35;0.48;0.15;2.0;Volátil
10;0.3;0.55;0.08;2.2;Volátil
6;0.4;0.42;0.09;1.5;Volátil
8;0.33;0.47;0.11;1.8;Volátil
9;0.31;0.53;0.1;1.6;Volátil
7;0.29;0.49;0.14;1.7;Volátil
10;0.34;0.51;0.13;2.1;Volátil
6;0.37;0.46;0.07;1.4;Volátil
8;0.3;0.55;0.12;1.9;Volátil
9;0.36;0.44;0.1;2.3;Volátil
1;0.95;0.03;0.0;0.6;Minimalista
2;0.9;0.05;0.0;0.7;Minimalista
1;0.92;0.04;0.0;0.5;Minimalista
3;0.88;0.07;0.02;0.9;Minimalista
2;0.91;0.06;0.01;0.8;Minimalista
1;0.97;0.02;0.0;0.4;Minimalista
3;0.89;0.08;0.03;1.0;Minimalista
2;0.93;0.04;0.0;0.6;Minimalista
1;0.96;0.03;0.0;0.5;Minimalista
3;0.87;0.09;0.01;1.1;Minimalista
2;0.94;0.05;0.0;0.7;Minimalista
1;0.98;0.01;0.0;0.3;Minimalista
3;0.9;0.07;0.02;1.0;Minimalista
2;0.92;0.05;0.0;0.6;Minimalista
